artist,bio,source,url
Sam Smith,"Samuel Frederick Smith is an English singer and songwriter. In 2012, they rose to prominence when they featured on Disclosure's breakthrough single ""Latch"", which peaked at number eleven on the UK Singles Chart. The following year, they featured on Naughty Boy's single ""La La La"", which became a number one single in the UK.",wikipedia,https://en.wikipedia.org/wiki/Sam_Smith
Bizarrap,"Gonzalo Julián Conde, known professionally as Bizarrap or BZRP, is an Argentine record producer, songwriter and DJ. He specializes in EDM, Latin trap and Latin hip-hop. He is known for his BZRP Music Sessions, a series of independent tracks which he records with a wide variety of artists. He was nominated for a Latin Grammy Award for Producer of the Year in 2021 and 2023.",wikipedia,https://en.wikipedia.org/wiki/Bizarrap
Manuel Turizo,"Manuel Turizo Zapata is a Colombian singer. Born and raised in Montería, he started making music at 13. He first became popular with his song ""Una Lady Como Tú"" (2016). He made his debut album ADN on August 23, 2019. Turizo's music contains influences from pop music, trap, and vallenato, and his vocal range has been classified as baritone. His most well-known song is his 2022 single ""La Bachata"".",wikipedia,https://en.wikipedia.org/wiki/Manuel_Turizo
Bad Bunny,"Benito Antonio Martínez Ocasio, known professionally as Bad Bunny, is a Puerto Rican rapper, actor, singer-songwriter, and record producer. Dubbed the ""King of Latin Trap"", he is widely credited with helping Spanish-language rap reach mainstream global popularity and is considered one of the greatest Latino rappers of all time.",wikipedia,https://en.wikipedia.org/wiki/Bad_Bunny
Joji,,none,
Beyoncé,"Beyoncé Giselle Knowles-Carter is an American singer, songwriter, actress, and businesswoman. Known for her vocal ability, artistic reinventions, and live performances, she is widely regarded as one of the most culturally significant figures of the 21st century. Credited with shaping popular music, Beyoncé is often deemed one of the greatest entertainers of all time.",wikipedia,https://en.wikipedia.org/wiki/Beyonc%C3%A9
Harry Styles,"Harry Edward Styles is an English singer, songwriter, and actor. An influential figure in popular culture, he is known for his showmanship, artistry, and flamboyant fashion. Styles's musical career began in 2010 as part of One Direction, a boy band formed on the British music competition series The X Factor after each member of the band had been eliminated from the solo contest. They became one of the best-selling boy bands of all time before going on an indefinite hiatus in 2016. Styles released his eponymous debut solo album through Erskine and Columbia Records in 2017, which was led by the UK number-one single ""Sign of the Times"".",wikipedia,https://en.wikipedia.org/wiki/Harry_Styles
Rema,"Divine Joshua Ikubor, known professionally as Rema, is a Nigerian singer-songwriter and rapper. He gained recognition with his 2019 song ""Dumebi"". That same year, he signed with D'Prince's record label, Jonzing World. He achieved international recognition with his 2022 single ""Calm Down"", which spawned a remix with American singer Selena Gomez that peaked at number three on the Billboard Hot 100. The song also led the Billboard U.S. Afrobeats Songs chart for a record-setting 58 weeks.",wikipedia,https://en.wikipedia.org/wiki/Rema_(musician)
Rauw Alejandro,"Raúl Alejandro Ocasio Ruiz, known professionally as Rauw Alejandro, is a Puerto Rican singer and songwriter. His music styles include genres such as reggaeton, Latin R&B, urbano, Latin trap, rhythmic pop, and ballads. His accolades include two Latin Grammy Awards, two Billboard Latin Music Awards, and an iHeartRadio Music Awards. Rolling Stone called him ""the greatest showman in Latin music"" and compared his concerts to a Broadway production.",wikipedia,https://en.wikipedia.org/wiki/Rauw_Alejandro
Drake,"Aubrey Drake Graham is a Canadian rapper, singer, and actor. He is credited with popularizing R&B sensibilities in hip-hop music through rap-singing, and journalists have referred to him as one of the greatest rappers of all time. Drake first gained recognition as Jimmy Brooks in the CTV teen drama series Degrassi: The Next Generation (2001–2008) and began his music career by independently releasing the mixtapes Room for Improvement (2006), Comeback Season (2007), and So Far Gone (2009), before signing with Young Money Entertainment.",wikipedia,https://en.wikipedia.org/wiki/Drake_(musician)
Luar La L,,none,
The Weeknd,"Abel Tesfaye, known professionally as the Weeknd, is a Canadian singer-songwriter, record producer, and actor. Regarded as an influential figure in popular music, he is known for his light-lyric tenor vocal range and falsetto, alternative R&B sound, and dark aesthetics, as well as the cinematic visuals and storytelling of his music videos. His accolades include four Grammy Awards, 20 Billboard Music Awards, 22 Juno Awards, 6 American Music Awards, 3 MTV Video Music Awards, and a Latin Grammy Award.",wikipedia,https://en.wikipedia.org/wiki/The_Weeknd
Ruth B.,"Ruth Berhe, is a Canadian singer and songwriter from Edmonton, Alberta. She started by singing songs on Vine in early 2013. In November 2015, she released her debut extended play The Intro. On May 5, 2017, she released her debut album Safe Haven. It has gathered over 2.5 billion overall streams globally as of June 2024. Her double-platinum single ""Lost Boy"" has accumulated over 850 million streams on Spotify, and her YouTube channel has received a total of over 900 million views as of April 2025.",wikipedia,https://en.wikipedia.org/wiki/Ruth_B.
Shakira,"Shakira Isabel Mebarak Ripoll is a Colombian singer, songwriter, dancer, and record producer. Referred to as the ""Queen of Latin Music"", she has had a significant impact on the musical landscape of Latin America and has been credited with popularizing Hispanophone music globally, contributing to increased learning and use of the Spanish language worldwide. She is also credited with opening the doors of the international market for other Latin artists. Her accolades include 4 Grammy Awards and 15 Latin Grammy Awards.",wikipedia,https://en.wikipedia.org/wiki/Shakira
Elley Duhé,"Elley Duhé (born February 14, 1992) is an American singer and songwriter. Born near Mobile, Alabama, she was raised on the Gulf Coast in the small towns of Vancleave, Mississippi and Dauphin Island, Alabama, inspired by her musician father and uncles who are in the orbit of the New Orleans music scene. After her father got Elley her first guitar when she was 14, she began her career at 15 singing in coffee shops. Graduating to paying gigs in bars, restaurants, and at private parties, she gained enough exposure to be booked to open for national acts and connect with songwriters in Nashville, Los Angeles, and Austin, where, after dropping out of high school and getting her GED, she spent three years honing her craft. She now lives in Los Angeles. The single ""Millennium"", her collaboration with electronic producer , released in October 2016, was viewed over two million times on YouTube and streamed 1.4 million times on Spotify. After Billboard premiered her single ""Immortal"" in December 2016, it gained 4.5 million streams on Spotify, while the video netted nearly a million views on YouTube. A remix by DJ duo netted an additional 770,000 Spotify streams. Her follow-up single ""Fly"", released in July 2017, featured production from and ( , ). In July 2018, she collaborated with Russian-German music producer on the single ""Happy Now"". On August 3, 2018, her collaborative single with , ""Tie Me Down"", was released. On August 10, 2018, she released the EP Dragon Mentality.",lastfm,https://www.last.fm/music/Elley%2BDuh%C3%A9/+wiki
Beach Weather,"Beach Weather is an American indie rock band formed in 2015 by lead vocalist and rhythm guitarist Nick Santino, best known for their song ""Sex, Drugs, Etc."" which was certified Platinum on May 16, 2023.",wikipedia,https://en.wikipedia.org/wiki/Beach_Weather
Billie Eilish,"Billie Eilish Pirate Baird O'Connell is an American singer-songwriter. Known for her distinctive musical sound and vocal style, Eilish is a prominent figure in 2020s pop culture. She first gained public attention in 2015 with her debut single ""Ocean Eyes"" which was released on SoundCloud and written and produced by her brother Finneas O'Connell. In 2017, she released her debut EP, Don't Smile at Me, which was commercially successful in various countries, including the US, UK, and Australia.",wikipedia,https://en.wikipedia.org/wiki/Billie_Eilish
Future,"Nayvadius DeMun Cash, known professionally as Future, is an American rapper, singer-songwriter, and record producer. Known for his mumble-style, rap-singing and prolific output, Future is credited with helping pioneer the use of Auto-Tuned delivery in trap music. He is commonly regarded as one of the most influential rappers of his generation.",wikipedia,https://en.wikipedia.org/wiki/Future_(rapper)
Nicki Minaj,"Onika Tanya Maraj-Petty, known professionally as Nicki Minaj, is a Trinidadian rapper, singer, and songwriter. Dubbed the ""Queen of Rap"" and one of the most influential rappers of all time, she is noted for her dynamic rap flow, witty lyrics, musical versatility, and alter egos, and is credited as a driving force in the mainstream resurgence of female rap since the 2010s.",wikipedia,https://en.wikipedia.org/wiki/Nicki_Minaj
Mora,"There are at least two artists with the name Mora, one being a Puerto Rican singer and the other being a Slovenian metal band. 1) Mora is a Puerto Rican singer and producer. 2) MORA had their first appearance in the metal world on November 23rd 2007, when they introduced themselves for the first time to their home crowd after just a few weeks of practice. Then with Jupoll (Vocals, Guitar), Nazgul (Guitar), Scavenger (Bass, Back Vocals) and Zli (Drums). After that, a couple of gigs all over Slovenia took place and MORA also recorded their first demo »Slaughter Begins«, which they financed on their own. In the summer of 2008, two festival gigs followed, one on the Metalcamp and the other on MetalMania Open Air. On both gigs Shk, the new drummer, blasted the beats instead of Zli which due to lacking time had to leave the band. After Metal Mania Nazgul has decided to leave the band, so Mraz and Scavenger grabbed the 6-strings and Mortaas joined on bass. Jupoll also left the post as the guitarist and just focuses on the singing. As the lineup changed so did their style, they have focused more on the complexity of the song and made them more technical (Black/Death Metal). MORA are currently focusing on writing and recording new material for the first EP entitled EBOLA. After the gig @ WinterCamp in Bohinj, Jupoll left the band and shortly after that Mraz left. Shk joined . Jupoll is currently working on his new black metal band. Mraz is in the process of recording with his new old school death metal band Doomed. Mortaas is still playing with Little Ann.",lastfm,https://www.last.fm/music/Mora/+wiki
Pablo Pesadilla,,none,
